,word,closenessA,betweennessA,degreeA,transA,ncompoA,closenessB,betweennessB,degreeB,transB,ncompoB,closenessC,betweennessC,degreeC,transC,ncompoC,nSense,simp_word,N,RT,RTSD,ERR,length,Word,Frequency,C1Frequency,C2Frequency,C3Frequency,C4Frequency,C1FamilySize,C2FamilySize,C3FamilySize,C4FamilySize,C1FamilyFrequency,C2FamilyFrequency,C3FamilyFrequency,C4FamilyFrequency,C1ConditionalProbability,C12ConditionalProbability,C123ConditionalProbability,C1BackwardConditionalProbability,C12BackwardConditionalProbability,C123BackwardConditionalProbability,C1RE,C2RE,PMI,Strokes,C1Strokes,C2Strokes,C3Strokes,C4Strokes
2559,透過,3.468970062788358e-05,0.0,0.0,,1.0,3.4690302336421504e-05,0.0,0.5,,1.5,3.4690302336421504e-05,0.0,0.5,,1.5,2,透过,38,823.8852631578949,425.3047282338119,5.0,2,透过,7.8651,99.1407,4522.7704,,,30,134.0,,,78.5767,3698.5174,,,0.13969717,,,0.00326035,,,3.3906,6.028,3.2623,16,10,6.0,,
2560,透露,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,2,透露,37,662.0805405405405,190.79775298504964,5.128205128205128,2,透露,14.5738,99.1407,115.2988,,,30,52.0,,,78.5767,99.6219,,,0.25885451,,,0.21654367,,,3.3906,3.9905,9.4431,31,10,21.0,,
2561,逐步,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,逐步,38,849.5644736842104,251.1015145497442,5.0,2,逐步,4.4996,41.3235,325.8469,,,21,74.0,,,50.5708,250.215,,,0.17594203,,,0.02354538,,,2.806,4.9,7.1335,17,10,7.0,,
2562,逐漸,3.468970062788358e-05,0.0,0.0,,1.0,3.469210754553339e-05,0.0,2.0,1.0,3.0,3.469210754553339e-05,0.0,2.0,1.0,3.0,1,逐渐,40,683.8430000000002,332.2777467351441,2.4390243902439024,2,逐渐,16.1305,41.3235,49.684,,,21,10.0,,,50.5708,52.1868,,,0.63072464,,,0.32497013,,,2.806,4.7919,11.1323,21,10,11.0,,
2563,途徑,3.468970062788358e-05,0.0,0.0,,1.0,3.469371237998484e-05,0.0,3.333333333333333,1.0,4.333333333333333,3.469371237998484e-05,0.0,3.333333333333333,1.0,4.333333333333333,3,途径,41,756.3917073170732,325.07293079324893,2.380952380952381,2,途径,7.7761,87.037,21.2346,,,24,19.0,,,112.7798,28.2431,,,0.31090694,,,0.29971429,,,2.7879,2.5368,9.7767,18,10,8.0,,
2564,逗,3.468970062788358e-05,0.0,0.0,,1.0,3.4690302357296035e-05,0.0,0.5,1.0,1.5,3.469511810868282e-05,1.5043757174743892e-09,1.625,0.75,5.5,8,逗,40,667.6505000000002,163.7840461525555,2.4390243902439024,1,逗,22.2609,38.7901,,,,12,,,,12.6464,,,,,,,,,,,,,10,10,,,
2565,逗留,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.469331104610448e-05,0.0,1.0,,4.0,1,逗留,39,748.1148717948719,265.27409529799047,2.5,2,逗留,2.5574,38.7901,331.5605,,,12,62.0,,,12.6464,289.2142,,,0.33889980000000003,,,0.03550479,,,1.1456,3.991,8.2271,20,10,10.0,,
2566,這兒,3.468970062788358e-05,0.0,0.0,,1.0,3.4695718590097595e-05,6.418669727890727e-10,5.0,0.8833333333333333,6.0,3.4719224545335936e-05,0.0,7.5,1.0,25.5,2,这儿,39,746.5656410256407,260.65872691070615,2.5,2,这儿,201.5345,7190.5037,1244.4889,,,16,187.0,,,5501.5938,1452.1275,,,0.03667328,,,0.2035016,,,4.9748,4.5455,3.2832,9,7,2.0,,
2567,這般,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,2,这般,36,813.0363888888887,210.4080494542903,14.285714285714285,2,这般,5.492999999999999,7190.5037,136.3704,,,16,10.0,,,5501.5938,120.6079,,,0.00099955,,,0.04697604,,,4.9748,3.2551,1.4811,17,7,10.0,,
2568,這裏,3.468970062788358e-05,0.0,0.0,,1.0,3.469571854833693e-05,0.0,4.0,1.0,6.0,3.4719224545335936e-05,0.0,7.5,1.0,25.5,2,这里,40,647.7535,308.5476445987489,2.4390243902439024,2,这里,923.8176,7190.5037,2571.442,,,16,135.0,,,5501.5938,1923.1875,,,0.16810732,,,0.55423718,,,4.9748,5.0183,4.9032,14,7,7.0,,
2569,這麼,3.4692107809978006e-05,0.0,0.3333333333333333,,3.0,3.469291010194298e-05,0.0,2.6666666666666665,1.0,3.6666666666666665,3.4694515312288693e-05,0.0,3.0,1.0,5.0,3,这么,40,722.2162499999997,243.80372202926014,2.4390243902439024,2,这么,983.7583,7190.5037,5856.5728,,,16,19.0,,,5501.5938,7983.4544,,,0.17901474,,,0.1455109,,,4.9748,5.4698,3.1457,10,7,3.0,,
2570,通,3.491590637514498e-05,0.0,0.09090909090909093,,176.45454545454547,3.4690357044788424e-05,0.0,0.5454545454545454,1.0,1.5454545454545454,3.5378609715827034e-05,6.564548585342789e-10,0.8181818181818182,0.5,471.1818181818182,11,通,39,675.8315384615388,320.6279795925033,2.5,1,通,76.7976,590.5877,,,,143,,,,721.8903,,,,,,,,,,,,,10,10,,,
2571,通信,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.469150583699403e-05,0.0,0.5,,2.5,2,通信,39,716.9571794871796,223.2433673671273,2.5,2,通信,5.9007,590.5877,1449.4864,,,143,148.0,,,721.8903,1059.7628,,,0.01368356,,,0.01023281,,,5.138999999999999,5.9712,1.5571,19,10,9.0,,
2572,通商,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,1,通商,31,948.3593548387096,404.4711869996468,22.5,2,通商,0.0741,590.5877,211.2049,,,143,87.0,,,721.8903,246.0415,,,0.0001719,,,0.0015647,,,5.138999999999999,3.8341,-2.5666,21,10,11.0,,
2573,通常,3.468970062788358e-05,0.0,0.0,,1.0,3.469150587874889e-05,0.0,1.5,1.0,2.5,3.469150587874889e-05,0.0,1.5,1.0,2.5,2,通常,39,635.7410256410258,234.27256782594554,2.5,2,通常,31.5864,590.5877,665.842,,,143,71.0,,,721.8903,841.023,,,0.0732483,,,0.04104298,,,5.138999999999999,6.6069,4.2529,21,10,11.0,,
2574,通訊,3.468990119739622e-05,0.0,0.16666666666666666,,1.1666666666666667,3.468990119739622e-05,0.0,0.16666666666666666,,1.1666666666666667,3.469050293376637e-05,0.0,0.3333333333333333,,1.6666666666666667,6,通讯,40,723.99375,287.0103470902382,0.0,2,通讯,7.0497,590.5877,60.8444,,,143,26.0,,,721.8903,51.0526,,,0.01634807,,,0.17382563,,,5.138999999999999,2.9076,6.2456,15,10,5.0,,
2575,通話,3.468970062788358e-05,0.0,0.0,,1.0,3.468970062788358e-05,0.0,0.0,,1.0,3.469331104610448e-05,0.0,1.0,,4.0,1,通话,38,760.1305263157898,261.0982673966892,7.317073170731707,2,通话,14.6479,590.5877,1630.0198,,,143,143.0,,,721.8903,1218.8065,,,0.03396823,,,0.01392913,,,5.138999999999999,5.9736,2.6394,18,10,8.0,,
2576,通過,3.468970062788358e-05,0.0,0.0,,1.0,3.4690302336421504e-05,0.0,0.5,,1.5,3.4690302336421504e-05,0.0,0.5,,1.5,4,通过,40,681.7515000000002,265.4634932895429,0.0,2,通过,179.3403,590.5877,4522.7704,,,143,134.0,,,721.8903,3698.5174,,,0.41588737,,,0.07434278,,,5.138999999999999,6.028,4.6103,16,10,6.0,,
2577,逝,3.4692348972305194e-05,0.0,0.2,,3.2,3.469403469195056e-05,2.6258194341371147e-10,3.4,0.9670329670329668,4.6,3.4698853751421554e-05,1.0073490836045649e-08,5.2,0.7034632034632035,8.6,5,逝,36,756.7902777777778,273.6421198519397,7.6923076923076925,1,逝,3.9659,33.6,,,,8,,,,35.4781,,,,,,,,,,,,,10,10,,,
